op_unique_carrier,origin,dest,dep_hour,flights
OH,CLT,IAD,22,3
OH,CLT,ILM,13,5
OH,CLT,ILM,16,5
OH,CLT,JAN,13,5
OH,CLT,LEX,9,4
OH,CLT,LEX,13,5
OH,CLT,LEX,16,2
OH,CLT,LEX,17,3
OH,CLT,LEX,20,6
OH,CLT,LEX,22,3
OH,CLT,LFT,20,5
OH,CLT,LIT,9,5
OH,CLT,LIT,14,5
OH,CLT,LIT,18,5
OH,CLT,MDT,9,5
OH,CLT,MDT,15,5
OH,CLT,MHT,15,3
OH,CLT,MHT,21,5
OH,CLT,MLB,11,5
OH,CLT,MLB,15,5
OH,CLT,MLB,21,4
OH,CLT,MLI,14,5
OH,CLT,MLI,21,3
OH,CLT,MYR,9,4
OH,CLT,MYR,13,5
OH,CLT,MYR,16,5
OH,CLT,MYR,18,3
OH,CLT,OAJ,18,3
OH,CLT,ORF,14,5
OH,CLT,ORF,16,5
OH,CLT,ORF,20,5
OH,CLT,PIA,14,5
OH,CLT,PIA,20,5
OH,CLT,PNS,15,5
OH,CLT,PNS,18,5
OH,CLT,PNS,20,5
OH,CLT,ROC,9,5
OH,CLT,SAV,7,4
OH,CLT,SAV,11,5
OH,CLT,SAV,13,4
OH,CLT,SAV,14,5
OH,CLT,SAV,18,3
OH,CLT,SAV,20,6
OH,CLT,SBN,9,5
OH,CLT,SBN,15,5
OH,CLT,SBN,21,6
OH,CLT,SDF,9,5
OH,CLT,SDF,18,5
OH,CLT,SDF,22,4
OH,CLT,SGF,11,5
OH,CLT,SGF,16,3
OH,CLT,SHV,11,5
OH,CLT,SHV,21,3
OH,CLT,SHV,22,2
OH,CLT,SRQ,7,5
OH,CLT,TYS,7,4
OH,CLT,TYS,9,5
OH,CLT,TYS,11,5
OH,CLT,TYS,16,5
OH,CLT,TYS,18,6
OH,CLT,TYS,20,5
OH,CLT,TYS,22,3
OH,CLT,VPS,14,5
OH,CMH,CLT,11,4
OH,CMH,CLT,15,5
OH,CRW,CLT,6,4
OH,CRW,CLT,12,5
OH,CRW,CLT,18,5
OH,CVG,CLT,8,5
OH,CVG,CLT,11,5
OH,CVG,CLT,15,6
OH,CVG,DCA,7,5
OH,CVG,PHL,8,5
OH,DAB,CLT,17,5
OH,DAY,CLT,6,4
OH,DAY,CLT,8,5
OH,DAY,CLT,12,5
OH,DAY,CLT,18,3
OH,DAY,DCA,5,5
OH,DAY,DCA,14,5
OH,DAY,DCA,19,2
OH,DAY,DFW,7,6
OH,DAY,DFW,13,5
OH,DAY,DFW,18,5
OH,DCA,ALB,10,5
OH,DCA,ALB,15,5
OH,DCA,ALB,22,2
OH,DCA,ATL,8,5
OH,DCA,ATL,13,5
OH,DCA,AVL,15,3
OH,DCA,AVL,17,2
OH,DCA,BDL,10,5
OH,DCA,BDL,15,5
OH,DCA,BDL,22,5
OH,DCA,BGR,9,6
OH,DCA,BGR,14,6
OH,DCA,BGR,22,5
OH,DCA,BHM,8,5
OH,DCA,BHM,14,5
OH,DCA,BHM,20,2
OH,DCA,BNA,7,6
OH,DCA,BNA,14,6
OH,DCA,BNA,20,5
OH,DCA,BUF,10,5
OH,DCA,BUF,15,3
OH,DCA,BUF,22,2
OH,DCA,CAE,8,6
OH,DCA,CAE,13,5
OH,DCA,CAE,17,2
OH,DCA,CAK,20,5
OH,DCA,CHS,8,6
OH,DCA,CHS,16,5
OH,DCA,CHS,20,5
OH,DCA,CID,8,5
OH,DCA,CLE,17,5
OH,DCA,CLE,22,2
OH,DCA,CLT,6,6
OH,DCA,CLT,13,6
OH,DCA,CVG,19,5
OH,DCA,DAY,11,6
OH,DCA,DAY,17,5
OH,DCA,DAY,22,2
OH,DCA,DSM,10,5
OH,DCA,DSM,20,5
OH,DCA,DTW,8,5
OH,DCA,DTW,15,5
OH,DCA,DTW,22,2
OH,DCA,GRR,11,5
OH,DCA,GRR,15,3
OH,DCA,GRR,22,2
OH,DCA,GSO,15,5
OH,DCA,GSO,20,6
OH,DCA,GSP,17,3
OH,DCA,HPN,9,5
OH,DCA,HPN,13,5
OH,DCA,HPN,17,5
OH,DCA,HPN,19,5
OH,DCA,HSV,8,5
OH,DCA,HSV,12,2
OH,DCA,HSV,20,5
OH,DCA,ILM,8,5
OH,DCA,ILM,16,5
OH,DCA,IND,14,5
OH,DCA,JAX,7,5
OH,DCA,MCI,9,5
